timestamp_utc,open,high,low,close,base_volume,quote_volume,trades,taker_buy_base,taker_buy_quote,mark_close,index_close,premium_close,last_minus_mark_pct,mark_minus_index_pct,funding_rate_pct
2025-09-01T00:00:00+00:00,1.2069,1.2124,1.1998,1.2072,1258853.0,1515913.16807,10800,619340.0,746055.4068,1.20661219,1.20532675,0.00068336,0.04871573525211392,0.1066466001853783,0.054662999999999996
2025-09-01T01:00:00+00:00,1.2072,1.2168,1.2047,1.2131,1217461.0,1474494.55795,8818,602355.0,729248.10672,1.2131,1.21176116,0.0005513,0.0,0.11048711942542866,0.01324
2025-09-01T02:00:00+00:00,1.2131,1.2151,1.1975,1.1977,1150188.0,1388280.21076,9813,548113.0,661842.92242,1.1977,1.19632432,0.00099187,0.0,0.1149922288631533,0.015014
2025-09-01T03:00:00+00:00,1.1977,1.2015,1.183,1.1905,1799381.0,2142999.50688,15697,1022758.0,1217904.347,1.19057111,1.19002204,0.0,-0.005972763777217782,0.04613948158473935,0.027638
2025-09-01T04:00:00+00:00,1.1906,1.195,1.1583,1.1708,2728436.0,3200485.3939,20634,1216727.0,1427683.98016,1.17006203,1.16909102,0.00072359,0.06307101513243207,0.08305683504437056,0.008454
2025-09-01T05:00:00+00:00,1.1709,1.1813,1.1651,1.1719,1270525.0,1490420.16298,16142,808631.0,948936.46018,1.1715,1.17105663,0.0,0.034144259496371454,0.03786067971793816,0.0027419999999999996
2025-09-01T06:00:00+00:00,1.1719,1.1749,1.144,1.1442,1756038.0,2031795.22589,14822,735467.0,850799.06351,1.1448,1.14442491,0.0,-0.05241090146750338,0.032775413810259835,0.00125
2025-09-01T07:00:00+00:00,1.144,1.1643,1.1436,1.1586,1697488.0,1963754.50104,12004,937127.0,1084351.36341,1.1586,1.15713208,0.00027955,0.0,0.12685846545712476,0.00125
2025-09-01T08:00:00+00:00,1.1586,1.1694,1.15,1.1565,1724718.0,1999647.80129,12108,993688.0,1151682.85068,1.15636458,1.15511394,0.00093145,0.011710839500134185,0.1082698387312453,0.012502
2025-09-01T09:00:00+00:00,1.1565,1.1577,1.1444,1.1456,1347208.0,1550851.5658,10290,600587.0,691479.31183,1.14539675,1.14390691,0.00110759,0.017744942964093013,0.1302413672804814,0.00125
2025-09-01T10:00:00+00:00,1.1456,1.1725,1.126,1.1443,3033323.0,3473937.2163,21545,1497103.0,1715912.18099,1.14311989,1.14214981,0.00083935,0.10323589068161887,0.0849345673839208,0.019039
2025-09-01T11:00:00+00:00,1.1442,1.1525,1.1335,1.1364,1036272.0,1184537.90162,11506,497110.0,568449.13994,1.13639531,1.13499649,0.00080845,0.0004127084966665251,0.12324443399820417,0.013139
2025-09-01T12:00:00+00:00,1.1362,1.1423,1.1326,1.1362,841977.0,957589.50193,7929,415980.0,473152.6664,1.1360755,1.13526524,0.00022313,0.010958778707936823,0.071371867247505,0.023133
2025-09-01T13:00:00+00:00,1.1362,1.1379,1.1191,1.1211,2044218.0,2310151.99469,14687,721407.0,815629.6434,1.12101562,1.11975427,0.00057082,0.00752710296756387,0.11264525028336081,0.040256
2025-09-01T14:00:00+00:00,1.1211,1.1214,1.0935,1.0981,4345944.0,4804481.91747,26695,1930112.0,2133401.54306,1.09769873,1.09690428,0.00091029,0.03655556748252131,0.07242655667276665,0.013809
2025-09-01T15:00:00+00:00,1.0981,1.1008,1.0815,1.0861,2209737.0,2410729.11812,15530,971759.0,1060345.533,1.0861,1.08449913,0.0009797,0.0,0.14761376525955772,0.005698
2025-09-01T16:00:00+00:00,1.086,1.0932,1.0733,1.0841,2155523.0,2331487.66023,15370,1067531.0,1154612.6704,1.08338514,1.08241933,0.00101434,0.06598392147043608,0.08922697269273527,0.001868
2025-09-01T17:00:00+00:00,1.0839,1.0931,1.0751,1.076,1317902.0,1430369.51722,12029,639225.0,693782.24381,1.076,1.07538894,0.0,0.0,0.0568222321498002,0.022179
2025-09-01T18:00:00+00:00,1.076,1.082,1.0599,1.0626,2144648.0,2293160.92179,15427,1066480.0,1140562.84421,1.0626,1.0613858,0.00065515,0.0,0.11439761112310709,0.0046300000000000004
