timestamp_utc,open,high,low,close,base_volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2025-09-08T00:00:00+00:00,3.4895,3.566,3.4639,3.5125,1854361.0,6519587.47522,41828,1016035.0,3574030.72572
2025-09-08T00:01:00+00:00,3.5126,3.57,3.5068,3.5285,633336.0,2239524.3139,14333,344538.0,1219168.4723
2025-09-08T00:02:00+00:00,3.5266,3.5543,3.49,3.5331,626378.0,2201726.12366,11763,256847.0,904707.69316
2025-09-08T00:03:00+00:00,3.5334,3.5543,3.51,3.5432,439282.0,1552836.8711,10012,242120.0,856288.7068
2025-09-08T00:04:00+00:00,3.5432,3.609,3.5422,3.5706,797707.0,2856783.54328,16081,477933.0,1712359.18798
2025-09-08T00:05:00+00:00,3.57,3.5938,3.5281,3.5451,526959.0,1875194.97826,11846,234269.0,834466.6951
2025-09-08T00:06:00+00:00,3.545,3.5719,3.5416,3.5596,291853.0,1038360.6016,6761,152919.0,544158.878
2025-09-08T00:07:00+00:00,3.5597,3.5629,3.5281,3.544,236090.0,835749.0663,5165,106926.0,378574.3655
2025-09-08T00:08:00+00:00,3.5432,3.5566,3.5425,3.5469,152773.0,542128.6999,3466,76275.0,270718.5702
2025-09-08T00:09:00+00:00,3.5479,3.5649,3.54,3.54,192077.0,681992.6061,3974,82866.0,294366.9603
2025-09-08T00:10:00+00:00,3.5408,3.5661,3.54,3.5566,192996.0,686611.238,3828,111328.0,396128.3131
2025-09-08T00:11:00+00:00,3.5577,3.5699,3.5465,3.5492,192631.0,685858.6344,3977,86607.0,308522.6357
2025-09-08T00:12:00+00:00,3.5493,3.6365,3.542,3.5977,737300.0,2648437.47046,13966,481520.0,1730210.44558
2025-09-08T00:13:00+00:00,3.5966,3.6197,3.5852,3.5875,413188.0,1488642.9017,8281,211515.0,762412.2584
2025-09-08T00:14:00+00:00,3.5866,3.61,3.585,3.5969,231120.0,831306.7998,4455,122319.0,440083.2799
2025-09-08T00:15:00+00:00,3.5971,3.632,3.585,3.6248,477070.0,1723019.7301,8928,295561.0,1067898.7946
2025-09-08T00:16:00+00:00,3.6231,3.6231,3.5868,3.5982,275872.0,993814.9252,5358,122036.0,439478.3685
2025-09-08T00:17:00+00:00,3.5981,3.6083,3.5918,3.5921,132198.0,475957.3648,2752,52498.0,189054.5335
2025-09-08T00:18:00+00:00,3.5921,3.6234,3.5669,3.6113,438796.0,1576155.35308,8302,209350.0,753063.241
2025-09-08T00:19:00+00:00,3.6115,3.6148,3.587,3.5957,145016.0,521903.4439,3348,56312.0,202708.992
2025-09-08T00:20:00+00:00,3.5957,3.6113,3.5734,3.5784,217413.0,780670.5138,5132,88802.0,319098.9379
2025-09-08T00:21:00+00:00,3.5787,3.5866,3.5538,3.5738,339887.0,1213533.0391,6382,149211.0,533193.4298
2025-09-08T00:22:00+00:00,3.5736,3.5972,3.5666,3.5854,170697.0,611381.5378,4181,94479.0,338608.5647
2025-09-08T00:23:00+00:00,3.5854,3.643,3.5836,3.6197,566556.0,2052535.5127,10751,344726.0,1248650.6007
2025-09-08T00:24:00+00:00,3.6204,3.66,3.6138,3.6243,518121.0,1883992.8007,9637,315215.0,1146956.301
2025-09-08T00:25:00+00:00,3.6242,3.6302,3.6049,3.6145,264309.0,956051.2011,5080,111867.0,404642.7047
2025-09-08T00:26:00+00:00,3.6145,3.64,3.6128,3.6329,181716.0,659640.3243,3999,105200.0,381938.306
2025-09-08T00:27:00+00:00,3.6325,3.6335,3.6126,3.6272,165832.0,601035.8432,3121,83491.0,302709.5178
2025-09-08T00:28:00+00:00,3.6272,3.666,3.6251,3.6528,461322.0,1683129.7982,9297,292462.0,1067264.8597
2025-09-08T00:29:00+00:00,3.6528,3.885,3.6496,3.7681,4095698.0,15493112.29503,61193,2616237.0,9899173.56943
2025-09-08T00:30:00+00:00,3.769,3.7835,3.7269,3.7629,902903.0,3386590.6655,16366,467567.0,1754280.724
2025-09-08T00:31:00+00:00,3.7632,3.7819,3.6713,3.721,1006494.0,3741212.14925,19700,463035.0,1721292.7465
2025-09-08T00:32:00+00:00,3.7211,3.7626,3.7142,3.7542,629083.0,2351366.9225,13361,303472.0,1134955.6327
2025-09-08T00:33:00+00:00,3.7542,3.7646,3.705,3.7171,495152.0,1847818.84085,9986,210323.0,785003.9092
2025-09-08T00:34:00+00:00,3.7171,3.7283,3.6892,3.7082,343682.0,1274973.1531,6569,149072.0,553370.5564
2025-09-08T00:35:00+00:00,3.707,3.7119,3.65,3.6977,652162.0,2398902.8904,12674,304550.0,1120629.2894
2025-09-08T00:36:00+00:00,3.6977,3.719,3.6733,3.714,361840.0,1337578.06745,8067,192119.0,710532.04055
2025-09-08T00:37:00+00:00,3.7138,3.73,3.6905,3.7039,310637.0,1151091.2057,7038,173370.0,642557.7392
2025-09-08T00:38:00+00:00,3.704,3.712,3.69,3.7087,190279.0,704235.7224,4208,103516.0,383233.7035
2025-09-08T00:39:00+00:00,3.7082,3.7329,3.685,3.69,322472.0,1195869.8456,6572,158947.0,589921.4344
2025-09-08T00:40:00+00:00,3.6903,3.7276,3.68,3.7198,313906.0,1162317.5923,6236,188843.0,699500.8346
2025-09-08T00:41:00+00:00,3.7195,3.75,3.7125,3.7295,361462.0,1348207.136,7659,184697.0,689250.341
2025-09-08T00:42:00+00:00,3.7296,3.7296,3.7054,3.7237,180090.0,669243.23925,4039,83430.0,310108.9287
2025-09-08T00:43:00+00:00,3.7238,3.73,3.6934,3.7049,231621.0,858201.9703,5245,93388.0,345997.7652
2025-09-08T00:44:00+00:00,3.7048,3.7239,3.6983,3.7184,162888.0,604568.5403,3703,95710.0,355360.8077
2025-09-08T00:45:00+00:00,3.7183,3.7204,3.6582,3.6765,604391.0,2225416.7702,10957,270563.0,995928.1998
2025-09-08T00:46:00+00:00,3.6755,3.6817,3.6078,3.639,956323.0,3481660.664,18097,406448.0,1480027.5213
2025-09-08T00:47:00+00:00,3.6389,3.6661,3.6351,3.6556,377292.0,1378322.6583,7199,183994.0,672305.3931
2025-09-08T00:48:00+00:00,3.6555,3.7087,3.6423,3.686,506565.0,1863443.44155,9520,283013.0,1040956.42495
