quantity,aggregate_trades,trade_share,quote_volume_usdt,quote_volume_share
200000,3226,0.271961,264561.6,0.190682
14748,3072,0.258978,18559.68,0.013377
261057,248,0.020907,26724.41,0.019262
46309,132,0.011128,2507.86,0.001808
415204,78,0.006576,13178.57,0.009498
461057,57,0.004805,10926.59,0.007875
70504,52,0.004384,1501.88,0.001082
61057,35,0.002951,878.79,0.000633
31561,33,0.002782,431.31,0.000311
25062,19,0.001602,197.61,0.000142
