second,trade_count
0,58
1,10
2,14
3,5
4,3
5,2
6,10
7,9
8,26
9,7
10,5
11,4
12,2
13,10
14,8
15,10
16,11
17,4
18,4
19,2
20,9
21,2
22,1
23,6
24,6
25,2
26,1
27,1
28,2
29,4
30,5
31,5
32,0
33,4
34,9
35,0
36,0
37,5
38,0
39,5
40,8
41,1
42,8
43,6
44,3
45,7
46,3
47,0
48,4
49,8
50,2
51,49
52,4
53,10
54,12
55,5
56,22
57,5
58,20
59,52
