price,trade_count
67.01,116
67.19,58
67.17,39
67.18,37
67.14,26
67.15,26
67.13,25
67.2,22
67.12,21
67.16,19
67.02,17
67.09,17
67.21,14
67.07,13
67.08,13
67.11,10
67.06,8
67.1,6
67.22,6
67.05,3
