price,qty,side
0.08639,59945.0,bid
0.08638,57981.0,bid
0.08637,168048.0,bid
0.08636,295597.0,bid
0.08635,160156.0,bid
0.08634,287777.0,bid
0.08633,180102.0,bid
0.08632,482335.0,bid
0.08631,467033.0,bid
0.0863,257526.0,bid
0.08629,596635.0,bid
0.08628,360542.0,bid
0.08627,369375.0,bid
0.08626,362270.0,bid
0.08625,290473.0,bid
0.08624,251914.0,bid
0.08623,834744.0,bid
0.08622,793783.0,bid
0.08621,158614.0,bid
0.0862,200198.0,bid
0.08619,403427.0,bid
0.08618,285241.0,bid
0.08617,844404.0,bid
0.08616,316513.0,bid
0.08615,287241.0,bid
0.08614,103277.0,bid
0.08613,196881.0,bid
0.08612,159909.0,bid
0.08611,17192.0,bid
0.0861,574229.0,bid
0.08609,275315.0,bid
0.08608,68253.0,bid
0.08607,281031.0,bid
0.08606,106173.0,bid
0.08605,33781.0,bid
0.08604,189901.0,bid
0.08603,202283.0,bid
0.08602,112781.0,bid
0.08601,213128.0,bid
0.086,181475.0,bid
0.08599,22054.0,bid
0.08598,148245.0,bid
0.08597,80260.0,bid
0.08596,83130.0,bid
0.08595,184021.0,bid
0.08594,11462.0,bid
0.08593,22336.0,bid
0.08592,199781.0,bid
0.08591,11297.0,bid
0.0859,110992.0,bid
0.08589,185085.0,bid
0.08588,89010.0,bid
0.08587,10215.0,bid
0.08586,238.0,bid
0.08585,10226.0,bid
0.08584,821226.0,bid
0.08583,1396.0,bid
0.08582,1014.0,bid
0.08581,405.0,bid
0.0858,30409.0,bid
0.08579,1075.0,bid
0.08578,59.0,bid
0.08577,289.0,bid
0.08576,70239.0,bid
0.08575,1473.0,bid
0.08574,1739308.0,bid
0.08573,42694.0,bid
0.08572,408.0,bid
0.08571,144.0,bid
0.0857,62505.0,bid
0.08569,105436.0,bid
0.08568,241.0,bid
0.08567,296287.0,bid
0.08566,92827.0,bid
0.08565,107178.0,bid
0.08564,191189.0,bid
0.08563,29641.0,bid
0.08562,175.0,bid
0.08561,1702.0,bid
0.0856,136843.0,bid
0.08559,2546.0,bid
0.08558,151.0,bid
0.08557,299.0,bid
0.08556,9315.0,bid
0.08555,22103.0,bid
0.08554,720.0,bid
0.08553,29165.0,bid
0.08552,719.0,bid
0.08551,15854.0,bid
0.0855,1169504.0,bid
0.08549,11856.0,bid
0.08548,318.0,bid
0.08547,301849.0,bid
0.08546,119.0,bid
0.08545,922512.0,bid
0.08544,2273.0,bid
0.08543,655.0,bid
0.08542,14239.0,bid
0.08541,307.0,bid
0.0854,15257.0,bid
0.0864,56430.0,ask
0.08641,183824.0,ask
0.08642,235109.0,ask
0.08643,261884.0,ask
0.08644,170421.0,ask
0.08645,354311.0,ask
0.08646,462789.0,ask
0.08647,125170.0,ask
0.08648,335925.0,ask
0.08649,367001.0,ask
0.0865,484025.0,ask
0.08651,280446.0,ask
0.08652,378872.0,ask
0.08653,278073.0,ask
0.08654,315260.0,ask
0.08655,277079.0,ask
0.08656,473045.0,ask
0.08657,801332.0,ask
0.08658,326953.0,ask
0.08659,427135.0,ask
0.0866,64900.0,ask
0.08661,445628.0,ask
0.08662,967759.0,ask
0.08663,150250.0,ask
0.08664,247587.0,ask
0.08665,229743.0,ask
0.08666,66187.0,ask
0.08667,66844.0,ask
0.08668,350957.0,ask
0.08669,262479.0,ask
0.0867,171586.0,ask
0.08671,10516.0,ask
0.08672,10360.0,ask
0.08673,80722.0,ask
0.08674,237274.0,ask
0.08675,879.0,ask
0.08676,45144.0,ask
0.08677,35029.0,ask
0.08678,306.0,ask
0.08679,175903.0,ask
0.0868,92246.0,ask
0.08681,1381109.0,ask
0.08682,105969.0,ask
0.08683,67009.0,ask
0.08684,72895.0,ask
0.08685,913.0,ask
0.08686,6221.0,ask
0.08687,105667.0,ask
0.08688,2412.0,ask
0.08689,1870.0,ask
0.0869,16555.0,ask
0.08691,260.0,ask
0.08692,750.0,ask
0.08693,184.0,ask
0.08694,810.0,ask
0.08695,74.0,ask
0.08696,842.0,ask
0.08697,353.0,ask
0.08698,339.0,ask
0.08699,14865.0,ask
0.087,162655.0,ask
0.08701,408.0,ask
0.08702,28341.0,ask
0.08703,1739155.0,ask
0.08704,298.0,ask
0.08705,980.0,ask
0.08706,6183.0,ask
0.08707,4461877.0,ask
0.08708,696488.0,ask
0.08709,763168.0,ask
0.0871,135642.0,ask
0.08711,102730.0,ask
0.08712,269.0,ask
0.08713,635.0,ask
0.08714,450.0,ask
0.08715,25598.0,ask
0.08716,380.0,ask
0.08717,19239.0,ask
0.08718,2340.0,ask
0.08719,826.0,ask
0.0872,4780.0,ask
0.08721,3296.0,ask
0.08722,1443.0,ask
0.08723,703.0,ask
0.08724,23067.0,ask
0.08725,28500.0,ask
0.08726,6395.0,ask
0.08727,87478.0,ask
0.08728,167.0,ask
0.08729,320.0,ask
0.0873,2644227.0,ask
0.08731,1456.0,ask
0.08732,272.0,ask
0.08733,1631.0,ask
0.08734,80.0,ask
0.08735,3697.0,ask
0.08736,326.0,ask
0.08737,281.0,ask
0.08738,304.0,ask
0.08739,47.0,ask
