a,p,q,f,l,T,m,M,price,qty,trade_size_usd,symbol
3987120637,63446.34,0.00044,6402588256,6402588256,2026-06-12 03:42:23.718,False,True,63446.34,0.00044,27.9163896,BTCUSDT
3987120638,63446.33,0.0028,6402588257,6402588257,2026-06-12 03:42:23.880,True,True,63446.33,0.0028,177.649724,BTCUSDT
3987120639,63446.34,0.00016,6402588258,6402588258,2026-06-12 03:42:24.271,False,True,63446.34,0.00016,10.1514144,BTCUSDT
3987120640,63446.34,0.00015,6402588259,6402588259,2026-06-12 03:42:24.335,False,True,63446.34,0.00015,9.516950999999999,BTCUSDT
3987120641,63446.34,0.00016,6402588260,6402588260,2026-06-12 03:42:24.370,False,True,63446.34,0.00016,10.1514144,BTCUSDT
3987120642,63446.33,0.0028,6402588261,6402588261,2026-06-12 03:42:25.838,True,True,63446.33,0.0028,177.649724,BTCUSDT
3987120643,63446.33,0.0012,6402588262,6402588262,2026-06-12 03:42:27.186,True,True,63446.33,0.0012,76.13559599999999,BTCUSDT
3987120644,63446.34,0.00157,6402588263,6402588263,2026-06-12 03:42:27.811,False,True,63446.34,0.00157,99.6107538,BTCUSDT
3987120645,63446.33,0.00032,6402588264,6402588264,2026-06-12 03:42:27.867,True,True,63446.33,0.00032,20.302825600000002,BTCUSDT
3987120646,63446.34,0.03152,6402588265,6402588265,2026-06-12 03:42:29.473,False,True,63446.34,0.03152,1999.8286368,BTCUSDT
3987120647,63446.33,0.081,6402588266,6402588266,2026-06-12 03:42:29.785,True,True,63446.33,0.081,5139.152730000001,BTCUSDT
3987120648,63446.34,9e-05,6402588267,6402588267,2026-06-12 03:42:30.675,False,True,63446.34,9e-05,5.7101706,BTCUSDT
3987120649,63446.33,0.0001,6402588268,6402588268,2026-06-12 03:42:31.018,True,True,63446.33,0.0001,6.344633000000001,BTCUSDT
3987120650,63446.34,0.00017,6402588269,6402588269,2026-06-12 03:42:31.361,False,True,63446.34,0.00017,10.7858778,BTCUSDT
3987120651,63446.33,0.002,6402588270,6402588270,2026-06-12 03:42:32.139,True,True,63446.33,0.002,126.89266,BTCUSDT
3987120652,63446.33,0.00016,6402588271,6402588271,2026-06-12 03:42:32.306,True,True,63446.33,0.00016,10.151412800000001,BTCUSDT
3987120653,63446.34,0.00024,6402588272,6402588272,2026-06-12 03:42:32.609,False,True,63446.34,0.00024,15.2271216,BTCUSDT
3987120654,63446.33,0.00073,6402588273,6402588273,2026-06-12 03:42:32.871,True,True,63446.33,0.00073,46.3158209,BTCUSDT
3987120655,63446.33,0.01816,6402588274,6402588274,2026-06-12 03:42:33.590,True,True,63446.33,0.01816,1152.1853528,BTCUSDT
3987120656,63446.33,0.00016,6402588275,6402588275,2026-06-12 03:42:34.424,True,True,63446.33,0.00016,10.151412800000001,BTCUSDT
3987120657,63446.33,0.001,6402588276,6402588276,2026-06-12 03:42:34.517,True,True,63446.33,0.001,63.44633,BTCUSDT
3987120658,63446.33,0.05385,6402588277,6402588293,2026-06-12 03:42:34.667,True,True,63446.33,0.05385,3416.5848705000003,BTCUSDT
3987120659,63446.34,9e-05,6402588294,6402588294,2026-06-12 03:42:34.686,False,True,63446.34,9e-05,5.7101706,BTCUSDT
3987120660,63446.34,0.0001,6402588295,6402588295,2026-06-12 03:42:34.981,False,True,63446.34,0.0001,6.344634,BTCUSDT
3987120661,63446.34,0.03152,6402588296,6402588296,2026-06-12 03:42:35.202,False,True,63446.34,0.03152,1999.8286368,BTCUSDT
3987120662,63446.33,0.00048,6402588297,6402588297,2026-06-12 03:42:35.247,True,True,63446.33,0.00048,30.4542384,BTCUSDT
3987120663,63446.33,0.00016,6402588298,6402588298,2026-06-12 03:42:35.512,True,True,63446.33,0.00016,10.151412800000001,BTCUSDT
3987120664,63446.33,0.01493,6402588299,6402588299,2026-06-12 03:42:35.658,True,True,63446.33,0.01493,947.2537069000001,BTCUSDT
3987120665,63446.33,0.00032,6402588300,6402588300,2026-06-12 03:42:35.862,True,True,63446.33,0.00032,20.302825600000002,BTCUSDT
3987120666,63446.33,0.00016,6402588301,6402588301,2026-06-12 03:42:36.058,True,True,63446.33,0.00016,10.151412800000001,BTCUSDT
3987120667,63446.34,0.0001,6402588302,6402588302,2026-06-12 03:42:36.081,False,True,63446.34,0.0001,6.344634,BTCUSDT
3987120668,63446.34,0.00052,6402588303,6402588303,2026-06-12 03:42:37.091,False,True,63446.34,0.00052,32.9920968,BTCUSDT
3987120669,63446.33,0.00152,6402588304,6402588304,2026-06-12 03:42:37.369,True,True,63446.33,0.00152,96.43842160000001,BTCUSDT
3987120670,63446.33,0.0008,6402588305,6402588305,2026-06-12 03:42:37.609,True,True,63446.33,0.0008,50.75706400000001,BTCUSDT
3987120671,63446.33,0.00075,6402588306,6402588306,2026-06-12 03:42:38.771,True,True,63446.33,0.00075,47.5847475,BTCUSDT
3987120672,63446.34,0.0016,6402588307,6402588307,2026-06-12 03:42:39.671,False,True,63446.34,0.0016,101.514144,BTCUSDT
3987120673,63446.33,0.0136,6402588308,6402588308,2026-06-12 03:42:39.933,True,True,63446.33,0.0136,862.870088,BTCUSDT
3987120674,63446.34,0.001,6402588309,6402588309,2026-06-12 03:42:40.038,False,True,63446.34,0.001,63.44634,BTCUSDT
3987120675,63446.33,0.82334,6402588310,6402588360,2026-06-12 03:42:40.822,True,True,63446.33,0.82334,52237.9013422,BTCUSDT
3987120676,63446.32,0.00097,6402588361,6402588370,2026-06-12 03:42:40.822,True,True,63446.32,0.00097,61.5429304,BTCUSDT
3987120677,63446.31,0.00016,6402588371,6402588371,2026-06-12 03:42:40.822,True,True,63446.31,0.00016,10.151409600000001,BTCUSDT
3987120678,63446.06,0.00027,6402588372,6402588374,2026-06-12 03:42:40.822,True,True,63446.06,0.00027,17.1304362,BTCUSDT
3987120679,63446.05,0.01001,6402588375,6402588377,2026-06-12 03:42:40.822,True,True,63446.05,0.01001,635.0949605000001,BTCUSDT
3987120680,63446.02,0.00027,6402588378,6402588380,2026-06-12 03:42:40.822,True,True,63446.02,0.00027,17.1304254,BTCUSDT
3987120681,63446.01,0.01691,6402588381,6402588387,2026-06-12 03:42:40.822,True,True,63446.01,0.01691,1072.8720291000002,BTCUSDT
3987120682,63446.0,0.02718,6402588388,6402588393,2026-06-12 03:42:40.822,True,True,63446.0,0.02718,1724.46228,BTCUSDT
3987120683,63445.77,0.004,6402588394,6402588394,2026-06-12 03:42:40.822,True,True,63445.77,0.004,253.78307999999998,BTCUSDT
3987120684,63445.54,0.00027,6402588395,6402588397,2026-06-12 03:42:40.822,True,True,63445.54,0.00027,17.1302958,BTCUSDT
3987120685,63445.53,0.01725,6402588398,6402588400,2026-06-12 03:42:40.822,True,True,63445.53,0.01725,1094.4353925,BTCUSDT
3987120686,63445.41,0.00045,6402588401,6402588404,2026-06-12 03:42:40.822,True,True,63445.41,0.00045,28.5504345,BTCUSDT
3987120687,63445.4,0.02018,6402588405,6402588407,2026-06-12 03:42:40.822,True,True,63445.4,0.02018,1280.328172,BTCUSDT
3987120688,63445.33,9e-05,6402588408,6402588408,2026-06-12 03:42:40.822,True,True,63445.33,9e-05,5.7100797000000005,BTCUSDT
3987120689,63445.0,0.0103,6402588409,6402588412,2026-06-12 03:42:40.822,True,True,63445.0,0.0103,653.4835,BTCUSDT
3987120690,63444.69,0.00043,6402588413,6402588414,2026-06-12 03:42:40.822,True,True,63444.69,0.00043,27.2812167,BTCUSDT
3987120691,63444.6,8e-05,6402588415,6402588415,2026-06-12 03:42:40.822,True,True,63444.6,8e-05,5.0755680000000005,BTCUSDT
3987120692,63444.5,0.0088,6402588416,6402588418,2026-06-12 03:42:40.822,True,True,63444.5,0.0088,558.3116,BTCUSDT
3987120693,63444.25,0.00586,6402588419,6402588421,2026-06-12 03:42:40.822,True,True,63444.25,0.00586,371.783305,BTCUSDT
3987120694,63444.23,8e-05,6402588422,6402588422,2026-06-12 03:42:40.822,True,True,63444.23,8e-05,5.075538400000001,BTCUSDT
3987120695,63444.18,0.004,6402588423,6402588423,2026-06-12 03:42:40.822,True,True,63444.18,0.004,253.77672,BTCUSDT
3987120696,63444.0,0.027,6402588424,6402588427,2026-06-12 03:42:40.822,True,True,63444.0,0.027,1712.988,BTCUSDT
3987120697,63443.61,0.00163,6402588428,6402588428,2026-06-12 03:42:40.822,True,True,63443.61,0.00163,103.4130843,BTCUSDT
3987120698,63443.46,0.00062,6402588429,6402588429,2026-06-12 03:42:40.822,True,True,63443.46,0.00062,39.3349452,BTCUSDT
3987120699,63443.42,9e-05,6402588430,6402588430,2026-06-12 03:42:40.822,True,True,63443.42,9e-05,5.7099078,BTCUSDT
3987120700,63443.29,9e-05,6402588431,6402588431,2026-06-12 03:42:40.822,True,True,63443.29,9e-05,5.709896100000001,BTCUSDT
3987120701,63442.63,0.00977,6402588432,6402588432,2026-06-12 03:42:40.822,True,True,63442.63,0.00977,619.8344950999999,BTCUSDT
3987120702,63442.59,0.004,6402588433,6402588433,2026-06-12 03:42:40.822,True,True,63442.59,0.004,253.77035999999998,BTCUSDT
3987120703,63442.25,0.02837,6402588434,6402588434,2026-06-12 03:42:40.822,True,True,63442.25,0.02837,1799.8566325,BTCUSDT
3987120704,63442.22,0.00018,6402588435,6402588435,2026-06-12 03:42:40.822,True,True,63442.22,0.00018,11.419599600000002,BTCUSDT
3987120705,63442.21,0.08957,6402588436,6402588436,2026-06-12 03:42:40.822,True,True,63442.21,0.08957,5682.5187497,BTCUSDT
3987120706,63444.01,0.00218,6402588437,6402588437,2026-06-12 03:42:41.214,False,True,63444.01,0.00218,138.3079418,BTCUSDT
3987120707,63444.0,0.00851,6402588438,6402588438,2026-06-12 03:42:41.459,True,True,63444.0,0.00851,539.90844,BTCUSDT
3987120708,63444.0,0.0008,6402588439,6402588439,2026-06-12 03:42:42.507,True,True,63444.0,0.0008,50.7552,BTCUSDT
3987120709,63444.0,0.00251,6402588440,6402588440,2026-06-12 03:42:43.591,True,True,63444.0,0.00251,159.24444,BTCUSDT
3987120710,63444.01,9e-05,6402588441,6402588441,2026-06-12 03:42:43.962,False,True,63444.01,9e-05,5.7099609000000004,BTCUSDT
3987120711,63444.01,0.01575,6402588442,6402588461,2026-06-12 03:42:44.262,False,True,63444.01,0.01575,999.2431575,BTCUSDT
3987120712,63444.02,0.00088,6402588462,6402588470,2026-06-12 03:42:44.262,False,True,63444.02,0.00088,55.8307376,BTCUSDT
3987120713,63444.03,0.00016,6402588471,6402588471,2026-06-12 03:42:44.262,False,True,63444.03,0.00016,10.151044800000001,BTCUSDT
3987120714,63444.04,0.00027,6402588472,6402588474,2026-06-12 03:42:44.262,False,True,63444.04,0.00027,17.129890800000002,BTCUSDT
3987120715,63444.05,8e-05,6402588475,6402588475,2026-06-12 03:42:44.265,False,True,63444.05,8e-05,5.075524000000001,BTCUSDT
3987120716,63444.1,0.00018,6402588476,6402588477,2026-06-12 03:42:44.265,False,True,63444.1,0.00018,11.419938,BTCUSDT
3987120717,63444.28,0.00495,6402588478,6402588478,2026-06-12 03:42:44.265,False,True,63444.28,0.00495,314.049186,BTCUSDT
3987120718,63444.6,8e-05,6402588479,6402588479,2026-06-12 03:42:44.265,False,True,63444.6,8e-05,5.0755680000000005,BTCUSDT
3987120719,63444.68,9e-05,6402588480,6402588480,2026-06-12 03:42:44.265,False,True,63444.68,9e-05,5.710021200000001,BTCUSDT
3987120720,63446.33,0.001,6402588481,6402588481,2026-06-12 03:42:44.265,False,True,63446.33,0.001,63.44633,BTCUSDT
3987120721,63446.34,0.01502,6402588482,6402588596,2026-06-12 03:42:44.265,False,True,63446.34,0.01502,952.9640267999999,BTCUSDT
3987120722,63446.35,0.00149,6402588597,6402588599,2026-06-12 03:42:44.265,False,True,63446.35,0.00149,94.5350615,BTCUSDT
3987120723,63446.39,0.00096,6402588600,6402588600,2026-06-12 03:42:44.265,False,True,63446.39,0.00096,60.9085344,BTCUSDT
3987120724,63447.3,0.00016,6402588601,6402588602,2026-06-12 03:42:44.265,False,True,63447.3,0.00016,10.151568000000001,BTCUSDT
3987120725,63447.31,0.0008,6402588603,6402588612,2026-06-12 03:42:44.265,False,True,63447.31,0.0008,50.757848,BTCUSDT
3987120726,63447.7,0.00024,6402588613,6402588615,2026-06-12 03:42:44.265,False,True,63447.7,0.00024,15.227447999999999,BTCUSDT
3987120727,63447.88,0.00018,6402588616,6402588617,2026-06-12 03:42:44.265,False,True,63447.88,0.00018,11.4206184,BTCUSDT
3987120728,63447.95,0.00034,6402588618,6402588621,2026-06-12 03:42:44.265,False,True,63447.95,0.00034,21.572303,BTCUSDT
3987120729,63448.39,0.00973,6402588622,6402588624,2026-06-12 03:42:44.265,False,True,63448.39,0.00973,617.3528347,BTCUSDT
3987120730,63449.69,0.00016,6402588625,6402588626,2026-06-12 03:42:44.265,False,True,63449.69,0.00016,10.1519504,BTCUSDT
3987120731,63449.7,0.00027,6402588627,6402588629,2026-06-12 03:42:44.265,False,True,63449.7,0.00027,17.131419,BTCUSDT
3987120732,63449.7,0.02243,6402588630,6402588630,2026-06-12 03:42:44.606,True,True,63449.7,0.02243,1423.176771,BTCUSDT
3987120733,63449.7,0.0256,6402588631,6402588631,2026-06-12 03:42:45.154,True,True,63449.7,0.0256,1624.31232,BTCUSDT
3987120734,63449.71,0.00012,6402588632,6402588632,2026-06-12 03:42:45.484,False,True,63449.71,0.00012,7.6139652,BTCUSDT
3987120735,63449.71,0.0001,6402588633,6402588633,2026-06-12 03:42:46.424,False,True,63449.71,0.0001,6.344971,BTCUSDT
3987120736,63449.71,0.00049,6402588634,6402588634,2026-06-12 03:42:46.847,False,True,63449.71,0.00049,31.090357899999997,BTCUSDT
3987120737,63449.7,9e-05,6402588635,6402588635,2026-06-12 03:42:46.847,True,True,63449.7,9e-05,5.710473,BTCUSDT
3987120738,63449.7,0.0001,6402588636,6402588636,2026-06-12 03:42:47.128,True,True,63449.7,0.0001,6.34497,BTCUSDT
3987120739,63449.7,0.0004,6402588637,6402588637,2026-06-12 03:42:47.705,True,True,63449.7,0.0004,25.37988,BTCUSDT
3987120740,63449.71,0.0001,6402588638,6402588638,2026-06-12 03:42:48.004,False,True,63449.71,0.0001,6.344971,BTCUSDT
3987120741,63449.71,0.00014,6402588639,6402588639,2026-06-12 03:42:48.343,False,True,63449.71,0.00014,8.882959399999999,BTCUSDT
3987120742,63449.71,0.00012,6402588640,6402588640,2026-06-12 03:42:48.619,False,True,63449.71,0.00012,7.6139652,BTCUSDT
3987120743,63449.7,0.00145,6402588641,6402588641,2026-06-12 03:42:49.630,True,True,63449.7,0.00145,92.00206499999999,BTCUSDT
3987120744,63449.7,0.0012,6402588642,6402588642,2026-06-12 03:42:50.304,True,True,63449.7,0.0012,76.13963999999999,BTCUSDT
3987120745,63449.71,0.003,6402588643,6402588643,2026-06-12 03:42:50.442,False,True,63449.71,0.003,190.34913,BTCUSDT
3987120746,63449.71,0.003,6402588644,6402588644,2026-06-12 03:42:50.463,False,True,63449.71,0.003,190.34913,BTCUSDT
3987120747,63449.71,0.002,6402588645,6402588645,2026-06-12 03:42:51.565,False,True,63449.71,0.002,126.89942,BTCUSDT
3987120748,63449.7,0.0138,6402588646,6402588646,2026-06-12 03:42:52.654,True,True,63449.7,0.0138,875.6058599999999,BTCUSDT
3987120749,63449.71,0.02638,6402588647,6402588647,2026-06-12 03:42:52.719,False,True,63449.71,0.02638,1673.8033498,BTCUSDT
3987120750,63449.71,0.0001,6402588648,6402588648,2026-06-12 03:42:53.531,False,True,63449.71,0.0001,6.344971,BTCUSDT
3987120751,63449.71,0.00086,6402588649,6402588649,2026-06-12 03:42:53.533,False,True,63449.71,0.00086,54.5667506,BTCUSDT
3987120752,63449.71,0.0001,6402588650,6402588650,2026-06-12 03:42:54.200,False,True,63449.71,0.0001,6.344971,BTCUSDT
3987120753,63449.71,0.00189,6402588651,6402588651,2026-06-12 03:42:54.210,False,True,63449.71,0.00189,119.9199519,BTCUSDT
3987120754,63449.71,0.00189,6402588652,6402588652,2026-06-12 03:42:54.217,False,True,63449.71,0.00189,119.9199519,BTCUSDT
3987120755,63449.71,0.002,6402588653,6402588653,2026-06-12 03:42:54.466,False,True,63449.71,0.002,126.89942,BTCUSDT
3987120756,63449.7,0.0112,6402588654,6402588654,2026-06-12 03:42:54.632,True,True,63449.7,0.0112,710.6366399999999,BTCUSDT
3987120757,63449.71,0.00024,6402588655,6402588655,2026-06-12 03:42:54.737,False,True,63449.71,0.00024,15.2279304,BTCUSDT
3987120758,63449.7,0.0472,6402588656,6402588656,2026-06-12 03:42:55.229,True,True,63449.7,0.0472,2994.82584,BTCUSDT
3987120759,63449.7,0.03478,6402588657,6402588657,2026-06-12 03:42:55.864,True,True,63449.7,0.03478,2206.780566,BTCUSDT
3987120760,63449.71,0.10043,6402588658,6402588753,2026-06-12 03:42:56.099,False,True,63449.71,0.10043,6372.2543753,BTCUSDT
3987120761,63449.72,0.00043,6402588754,6402588757,2026-06-12 03:42:56.099,False,True,63449.72,0.00043,27.2833796,BTCUSDT
3987120762,63449.73,0.00016,6402588758,6402588758,2026-06-12 03:42:56.099,False,True,63449.73,0.00016,10.1519568,BTCUSDT
3987120763,63450.15,0.00584,6402588759,6402588761,2026-06-12 03:42:56.101,False,True,63450.15,0.00584,370.548876,BTCUSDT
3987120764,63450.4,9e-05,6402588762,6402588762,2026-06-12 03:42:56.101,False,True,63450.4,9e-05,5.710536,BTCUSDT
3987120765,63450.8,8e-05,6402588763,6402588763,2026-06-12 03:42:56.101,False,True,63450.8,8e-05,5.076064000000001,BTCUSDT
3987120766,63451.03,0.0004,6402588764,6402588768,2026-06-12 03:42:56.101,False,True,63451.03,0.0004,25.380412,BTCUSDT
3987120767,63451.36,0.00016,6402588769,6402588770,2026-06-12 03:42:56.101,False,True,63451.36,0.00016,10.1522176,BTCUSDT
3987120768,63451.71,0.00062,6402588771,6402588771,2026-06-12 03:42:56.101,False,True,63451.71,0.00062,39.340060199999996,BTCUSDT
3987120769,63452.01,0.00017,6402588772,6402588772,2026-06-12 03:42:56.101,False,True,63452.01,0.00017,10.786841700000002,BTCUSDT
3987120770,63452.31,9e-05,6402588773,6402588773,2026-06-12 03:42:56.101,False,True,63452.31,9e-05,5.7107079,BTCUSDT
3987120771,63453.78,0.00027,6402588774,6402588776,2026-06-12 03:42:56.101,False,True,63453.78,0.00027,17.1325206,BTCUSDT
3987120772,63453.79,0.01228,6402588777,6402588777,2026-06-12 03:42:56.101,False,True,63453.79,0.01228,779.2125411999999,BTCUSDT
3987120773,63453.78,0.04726,6402588778,6402588778,2026-06-12 03:42:56.107,True,True,63453.78,0.04726,2998.8256428,BTCUSDT
3987120774,63453.78,0.04726,6402588779,6402588779,2026-06-12 03:42:56.113,True,True,63453.78,0.04726,2998.8256428,BTCUSDT
3987120775,63453.79,0.00436,6402588780,6402588789,2026-06-12 03:42:56.115,False,True,63453.79,0.00436,276.65852440000003,BTCUSDT
3987120776,63453.79,0.03608,6402588790,6402588791,2026-06-12 03:42:56.120,True,True,63453.79,0.03608,2289.4127432,BTCUSDT
3987120777,63453.79,0.00068,6402588792,6402588792,2026-06-12 03:42:56.173,True,True,63453.79,0.00068,43.148577200000005,BTCUSDT
3987120778,63453.8,0.0001,6402588793,6402588794,2026-06-12 03:42:56.408,False,True,63453.8,0.0001,6.3453800000000005,BTCUSDT
3987120779,63453.8,0.00945,6402588795,6402588813,2026-06-12 03:42:56.429,False,True,63453.8,0.00945,599.63841,BTCUSDT
3987120780,63453.8,0.003,6402588814,6402588824,2026-06-12 03:42:56.875,False,True,63453.8,0.003,190.3614,BTCUSDT
3987120781,63453.8,9e-05,6402588825,6402588825,2026-06-12 03:42:56.968,False,True,63453.8,9e-05,5.710842,BTCUSDT
3987120782,63453.79,0.00131,6402588826,6402588826,2026-06-12 03:42:57.630,True,True,63453.79,0.00131,83.12446489999999,BTCUSDT
3987120783,63453.79,0.0136,6402588827,6402588827,2026-06-12 03:42:57.837,True,True,63453.79,0.0136,862.971544,BTCUSDT
3987120784,63453.8,0.00473,6402588828,6402588831,2026-06-12 03:42:58.463,False,True,63453.8,0.00473,300.136474,BTCUSDT
3987120785,63453.8,0.00011,6402588832,6402588832,2026-06-12 03:42:59.392,False,True,63453.8,0.00011,6.9799180000000005,BTCUSDT
3987120786,63453.79,0.0136,6402588833,6402588833,2026-06-12 03:43:00.482,True,True,63453.79,0.0136,862.971544,BTCUSDT
3987120787,63453.79,0.00023,6402588834,6402588834,2026-06-12 03:43:00.564,True,True,63453.79,0.00023,14.5943717,BTCUSDT
3987120788,63453.8,0.00161,6402588835,6402588835,2026-06-12 03:43:00.639,False,True,63453.8,0.00161,102.16061800000001,BTCUSDT
3987120789,63453.79,0.01539,6402588836,6402588865,2026-06-12 03:43:01.006,True,True,63453.79,0.01539,976.5538280999999,BTCUSDT
3987120790,63453.8,0.00031,6402588866,6402588866,2026-06-12 03:43:01.289,False,True,63453.8,0.00031,19.670678000000002,BTCUSDT
3987120791,63453.8,0.00015,6402588867,6402588867,2026-06-12 03:43:02.133,False,True,63453.8,0.00015,9.51807,BTCUSDT
3987120792,63453.8,0.00078,6402588868,6402588868,2026-06-12 03:43:02.158,False,True,63453.8,0.00078,49.493964,BTCUSDT
3987120793,63453.8,0.00073,6402588869,6402588869,2026-06-12 03:43:02.353,False,True,63453.8,0.00073,46.321274,BTCUSDT
3987120794,63453.79,0.0375,6402588870,6402588870,2026-06-12 03:43:02.738,True,True,63453.79,0.0375,2379.517125,BTCUSDT
3987120795,63453.79,0.0001,6402588871,6402588871,2026-06-12 03:43:02.818,True,True,63453.79,0.0001,6.345379,BTCUSDT
3987120796,63453.79,0.00056,6402588872,6402588872,2026-06-12 03:43:02.878,True,True,63453.79,0.00056,35.534122399999994,BTCUSDT
3987120797,63453.79,0.0022,6402588873,6402588873,2026-06-12 03:43:03.020,True,True,63453.79,0.0022,139.598338,BTCUSDT
3987120798,63453.8,0.00158,6402588874,6402588874,2026-06-12 03:43:03.092,False,True,63453.8,0.00158,100.25700400000001,BTCUSDT
3987120799,63453.8,0.00081,6402588875,6402588875,2026-06-12 03:43:03.929,False,True,63453.8,0.00081,51.397578,BTCUSDT
3987120800,63453.8,0.00634,6402588876,6402588876,2026-06-12 03:43:04.286,False,True,63453.8,0.00634,402.297092,BTCUSDT
3987120801,63453.79,0.0022,6402588877,6402588877,2026-06-12 03:43:05.437,True,True,63453.79,0.0022,139.598338,BTCUSDT
3987120802,63453.8,0.002,6402588878,6402588878,2026-06-12 03:43:06.106,False,True,63453.8,0.002,126.9076,BTCUSDT
3987120803,63453.8,0.0009,6402588879,6402588879,2026-06-12 03:43:06.511,False,True,63453.8,0.0009,57.10842,BTCUSDT
3987120804,63453.8,7e-05,6402588880,6402588880,2026-06-12 03:43:06.752,False,True,63453.8,7e-05,4.441765999999999,BTCUSDT
3987120805,63453.79,0.00081,6402588881,6402588881,2026-06-12 03:43:06.926,True,True,63453.79,0.00081,51.3975699,BTCUSDT
3987120806,63453.79,0.0001,6402588882,6402588882,2026-06-12 03:43:06.950,True,True,63453.79,0.0001,6.345379,BTCUSDT
3987120807,63453.79,0.00096,6402588883,6402588883,2026-06-12 03:43:07.319,True,True,63453.79,0.00096,60.9156384,BTCUSDT
3987120808,63453.79,0.00069,6402588884,6402588884,2026-06-12 03:43:07.319,True,True,63453.79,0.00069,43.783115099999996,BTCUSDT
3987120809,63453.79,0.00031,6402588885,6402588885,2026-06-12 03:43:07.964,True,True,63453.79,0.00031,19.6706749,BTCUSDT
3987120810,63453.79,0.0018,6402588886,6402588886,2026-06-12 03:43:08.092,True,True,63453.79,0.0018,114.216822,BTCUSDT
3987120811,63453.79,0.01,6402588887,6402588887,2026-06-12 03:43:08.588,True,True,63453.79,0.01,634.5379,BTCUSDT
3987120812,63453.79,0.00022,6402588888,6402588888,2026-06-12 03:43:08.650,True,True,63453.79,0.00022,13.9598338,BTCUSDT
3987120813,63453.8,0.00019,6402588889,6402588889,2026-06-12 03:43:08.894,False,True,63453.8,0.00019,12.056222000000002,BTCUSDT
3987120814,63453.79,0.38661,6402588890,6402588891,2026-06-12 03:43:09.561,True,True,63453.79,0.38661,24531.8697519,BTCUSDT
3987120815,63453.8,0.00011,6402588892,6402588892,2026-06-12 03:43:10.101,False,True,63453.8,0.00011,6.9799180000000005,BTCUSDT
3987120816,63453.79,0.0036,6402588893,6402588916,2026-06-12 03:43:11.559,True,True,63453.79,0.0036,228.433644,BTCUSDT
3987120817,63453.79,0.07884,6402588917,6402588919,2026-06-12 03:43:12.175,True,True,63453.79,0.07884,5002.6968036,BTCUSDT
3987120818,63453.8,0.00011,6402588920,6402588920,2026-06-12 03:43:12.685,False,True,63453.8,0.00011,6.9799180000000005,BTCUSDT
3987120819,63453.79,0.00095,6402588921,6402588924,2026-06-12 03:43:13.478,True,True,63453.79,0.00095,60.2811005,BTCUSDT
3987120820,63453.79,0.00202,6402588925,6402588942,2026-06-12 03:43:14.650,True,True,63453.79,0.00202,128.17665580000002,BTCUSDT
3987120821,63453.79,0.0036,6402588943,6402588943,2026-06-12 03:43:14.662,True,True,63453.79,0.0036,228.433644,BTCUSDT
3987120822,63453.79,0.01383,6402588944,6402588944,2026-06-12 03:43:16.171,True,True,63453.79,0.01383,877.5659157,BTCUSDT
3987120823,63453.79,0.0026,6402588945,6402588945,2026-06-12 03:43:17.003,True,True,63453.79,0.0026,164.979854,BTCUSDT
3987120824,63453.79,0.00024,6402588946,6402588946,2026-06-12 03:43:17.266,True,True,63453.79,0.00024,15.2289096,BTCUSDT
3987120825,63453.79,0.0001,6402588947,6402588948,2026-06-12 03:43:18.146,True,True,63453.79,0.0001,6.345379,BTCUSDT
3987120826,63453.79,0.00946,6402588949,6402588980,2026-06-12 03:43:18.443,True,True,63453.79,0.00946,600.2728534,BTCUSDT
3987120827,63453.79,0.00143,6402588981,6402588986,2026-06-12 03:43:18.585,True,True,63453.79,0.00143,90.73891970000001,BTCUSDT
3987120828,63453.8,0.01418,6402588987,6402588987,2026-06-12 03:43:18.649,False,True,63453.8,0.01418,899.774884,BTCUSDT
3987120829,63453.8,9e-05,6402588988,6402588988,2026-06-12 03:43:18.810,False,True,63453.8,9e-05,5.710842,BTCUSDT
3987120830,63453.79,0.0022,6402588989,6402589006,2026-06-12 03:43:20.332,True,True,63453.79,0.0022,139.598338,BTCUSDT
3987120831,63453.79,0.00016,6402589007,6402589007,2026-06-12 03:43:21.514,True,True,63453.79,0.00016,10.152606400000002,BTCUSDT
3987120832,63453.8,0.00017,6402589008,6402589008,2026-06-12 03:43:22.103,False,True,63453.8,0.00017,10.787146000000002,BTCUSDT
3987120833,63453.79,0.0014,6402589009,6402589009,2026-06-12 03:43:22.929,True,True,63453.79,0.0014,88.835306,BTCUSDT
3987120834,63453.8,9e-05,6402589010,6402589010,2026-06-12 03:43:23.133,False,True,63453.8,9e-05,5.710842,BTCUSDT
3987120835,63453.8,0.08362,6402589011,6402589011,2026-06-12 03:43:23.158,False,True,63453.8,0.08362,5306.006756000001,BTCUSDT
3987120836,63453.79,0.01954,6402589012,6402589014,2026-06-12 03:43:23.588,True,True,63453.79,0.01954,1239.8870565999998,BTCUSDT
3987120837,63453.8,0.00015,6402589015,6402589016,2026-06-12 03:43:24.308,False,True,63453.8,0.00015,9.51807,BTCUSDT
3987120838,63453.8,9e-05,6402589017,6402589017,2026-06-12 03:43:24.401,False,True,63453.8,9e-05,5.710842,BTCUSDT
3987120839,63453.8,0.0001,6402589018,6402589018,2026-06-12 03:43:24.764,False,True,63453.8,0.0001,6.3453800000000005,BTCUSDT
3987120840,63453.8,0.0001,6402589019,6402589019,2026-06-12 03:43:25.534,False,True,63453.8,0.0001,6.3453800000000005,BTCUSDT
