timestamp,price,volume,coin
2026-03-15 00:00:00,2096.556369062344,9282981861.045782,ethereum
2026-03-16 00:00:00,2175.059915408281,14747913813.60742,ethereum
2026-03-17 00:00:00,2351.172929558985,37734375007.812355,ethereum
2026-03-18 00:00:00,2318.1196031651903,24944176216.695835,ethereum
2026-03-19 00:00:00,2203.380058379178,24417846816.558723,ethereum
2026-03-20 00:00:00,2137.450038431429,24108916783.710667,ethereum
2026-03-21 00:00:00,2146.971987874902,16150931145.105274,ethereum
2026-03-22 00:00:00,2078.0492129718186,8184480973.487277,ethereum
2026-03-23 00:00:00,2053.1449566818205,15324406138.541382,ethereum
2026-03-24 00:00:00,2151.498274966905,28068766677.710217,ethereum
2026-03-25 00:00:00,2155.6817607237,17313748265.95867,ethereum
2026-03-26 00:00:00,2168.2595767488515,16105449679.631647,ethereum
2026-03-27 00:00:00,2059.332619583916,17644048977.134975,ethereum
2026-03-28 00:00:00,1991.9001004362854,18794766454.176136,ethereum
2026-03-29 00:00:00,1992.7681119939894,7979293174.014605,ethereum
2026-03-30 00:00:00,1983.184167632635,10326299594.555487,ethereum
2026-03-31 00:00:00,2023.82401658508,17467477810.849476,ethereum
2026-04-01 00:00:00,2104.8765857093113,21496491501.1208,ethereum
2026-04-02 00:00:00,2139.0578887146285,18985751706.48486,ethereum
2026-04-03 00:00:00,2056.8902960008427,18107142808.132233,ethereum
2026-04-04 00:00:00,2053.6088145168164,10901803576.733706,ethereum
2026-04-05 00:00:00,2064.9940579142453,6614766426.338903,ethereum
2026-04-06 00:00:00,2109.005555869251,10308136462.203756,ethereum
2026-04-07 00:00:00,2107.828320222534,17715610730.53405,ethereum
2026-04-08 00:00:00,2241.8159903072574,21326991149.979954,ethereum
2026-04-09 00:00:00,2190.478568186725,21125273662.90435,ethereum
2026-04-10 00:00:00,2188.9744265525896,17278828176.633224,ethereum
2026-04-11 00:00:00,2245.0457222392993,16110889862.863766,ethereum
2026-04-12 00:00:00,2285.4701387600003,11696324641.23899,ethereum
2026-04-13 00:00:00,2192.1608453362987,14967971355.94253,ethereum
2026-04-14 00:00:00,2371.8632958349403,23820082860.198566,ethereum
2026-04-15 00:00:00,2323.217827319875,24070653200.686302,ethereum
2026-04-16 00:00:00,2359.683410161545,17326838284.48319,ethereum
2026-04-17 00:00:00,2348.7047080527386,20472335141.626884,ethereum
2026-04-18 00:00:00,2421.00695362286,25049986905.615837,ethereum
2026-04-19 00:00:00,2350.9360042357484,13349871162.941334,ethereum
2026-04-20 00:00:00,2264.8143990219965,16902057633.758123,ethereum
2026-04-21 00:00:00,2315.024147296644,23156669964.6911,ethereum
2026-04-22 00:00:00,2327.5116327297133,17130568289.747871,ethereum
2026-04-23 00:00:00,2377.9343971512685,20905574032.85398,ethereum
2026-04-24 00:00:00,2330.8275816492055,19629913368.43663,ethereum
2026-04-25 00:00:00,2315.512435446713,13635648616.699389,ethereum
2026-04-26 00:00:00,2319.1503239938397,6121295053.320906,ethereum
2026-04-27 00:00:00,2369.743028837697,11012462134.513592,ethereum
2026-04-28 00:00:00,2299.7704586966606,12150745861.189976,ethereum
2026-04-29 00:00:00,2288.0449269490086,12066840793.75513,ethereum
2026-04-30 00:00:00,2253.4583579638706,19379367781.632473,ethereum
2026-05-01 00:00:00,2255.980291785015,11369388536.740932,ethereum
2026-05-02 00:00:00,2294.6636890449554,12312967150.130577,ethereum
2026-05-03 00:00:00,2316.3293345288466,6497751064.097067,ethereum
2026-05-04 00:00:00,2324.133330261142,9355399348.19334,ethereum
2026-05-05 00:00:00,2345.9956663961593,23880953186.743664,ethereum
2026-05-06 00:00:00,2361.0857066652707,16430576394.726986,ethereum
2026-05-07 00:00:00,2350.4781193929102,21825138299.97193,ethereum
2026-05-08 00:00:00,2291.184888890017,22081476649.42533,ethereum
2026-05-09 00:00:00,2306.8311830289026,18394366323.260735,ethereum
2026-05-10 00:00:00,2326.4573018792307,11017131520.707546,ethereum
2026-05-11 00:00:00,2368.837665726271,17501460235.16661,ethereum
2026-05-12 00:00:00,2339.603401986634,15115287938.074223,ethereum
2026-05-13 00:00:00,2274.643164858102,14692651356.32512,ethereum
2026-05-14 00:00:00,2257.6171092097293,13975758933.83422,ethereum
2026-05-15 00:00:00,2281.4964960855596,16314146159.781778,ethereum
2026-05-16 00:00:00,2223.5888907434723,16912505585.208876,ethereum
2026-05-17 00:00:00,2179.876738047661,11230210593.107407,ethereum
2026-05-18 00:00:00,2128.0002275811294,9287604931.97313,ethereum
2026-05-19 00:00:00,2128.491500875394,17747081554.3689,ethereum
2026-05-20 00:00:00,2111.7475988138285,10684756632.328907,ethereum
2026-05-21 00:00:00,2127.2938085253463,11880070016.234482,ethereum
2026-05-22 00:00:00,2131.694272748801,13232124105.785456,ethereum
2026-05-23 00:00:00,2064.3781409811045,13157867768.68006,ethereum
2026-05-24 00:00:00,2115.708147579567,15881194900.795416,ethereum
2026-05-25 00:00:00,2098.138643929662,10016986051.91297,ethereum
2026-05-26 00:00:00,2111.2088364861415,9520275612.667746,ethereum
2026-05-27 00:00:00,2070.833946428856,14289357242.495832,ethereum
2026-05-28 00:00:00,2022.5062490754037,13266188767.021996,ethereum
2026-05-29 00:00:00,2007.5624108851769,16829611058.685492,ethereum
2026-05-30 00:00:00,2012.230102947315,13389782791.04652,ethereum
2026-05-31 00:00:00,2019.175626778262,6649283564.115899,ethereum
2026-06-01 00:00:00,2003.971930485462,7997871254.165891,ethereum
2026-06-02 00:00:00,2003.3651516762716,17853069879.427395,ethereum
2026-06-03 00:00:00,1856.053796035668,23020084375.75209,ethereum
2026-06-04 00:00:00,1811.3503544806065,22903130202.65802,ethereum
2026-06-05 00:00:00,1769.1790948329233,26321504052.23819,ethereum
2026-06-06 00:00:00,1580.6197586525523,39419487821.76727,ethereum
2026-06-07 00:00:00,1568.766143257666,17844096160.95486,ethereum
2026-06-08 00:00:00,1687.0442636989208,16509959473.19324,ethereum
2026-06-09 00:00:00,1690.0951127719102,16654264816.130854,ethereum
2026-06-10 00:00:00,1637.8350754267938,14127918160.208885,ethereum
2026-06-11 00:00:00,1621.2977067034271,13051388908.792965,ethereum
2026-06-12 00:00:00,1671.88909163853,11763657711.167143,ethereum
2026-06-12 03:46:25,1669.6203778075032,11901680510.613081,ethereum
