source,date,evidence_type,value,excerpt,source_url
Aave governance ARC,2022-11-23,borrow concentration,"~92,000,000 CRV short at peak","user 0x57e04786e231af3343562c062e0d058f25dace9e opened a short position on CRV using USDC as collateral; at its peak, the user was shorting ~92M units of CRV (roughly $60M USD at today’s prices)",https://governance.aave.com/t/arc-repay-excess-debt-in-crv-market-for-aave-v2-eth/10779
Aave governance ARC,2022-11-23,liquidation outcome,fully liquidated; ~$1.6M bad debt,"The attempt to short CRV on Aave has been unsuccessful, and the user lost ~$10M USD from the liquidations. The user has been fully liquidated, but despite this, Aave has accrued a much smaller (~$1.6M USD) bad debt position",https://governance.aave.com/t/arc-repay-excess-debt-in-crv-market-for-aave-v2-eth/10779
Aave governance ARFC,2022-12-08,residual CRV debt,"2,656,335 CRV; $1,762,478.27 at $0.6635","There are approximately 2,656,335 units of CRV of excessive debt in the Ethereum v2 CRV Reserve. At 66.35 cents per unit, a total of 1,762,478.27 USD, in the form of CRV tokens, is required to recapitalise the protocol.",https://governance.aave.com/t/arfc-repay-excess-crv-debt-on-ethereum-v2/10955
Aave governance risk discussion,2022-11-22,manipulation-risk framing,tactical short; short-squeeze risk,the protocol is now at risk of accumulating significant bad debt due to a tactical short position that Avi entered with the intention of precipitating a short squeeze,https://governance.aave.com/t/discussion-reducing-long-tail-asset-risk/10748
