pair,aggregate_trades,notional_quote,quantity,trade_count,trade_share_pct,notional_share_pct,aggressor_buy_share_pct,single_underlying_fill_share_pct,timestamps_with_both_aggressor_sides
BOMEUSDT,56363,4686587.95,200000,11122,19.7328,20.1662,50.4675,72.4870,0
BOMEUSDT,56363,4686587.95,14748,10725,19.0284,1.4339,49.8928,91.0396,0
BOMEUSDC,6774,527226.20,200000,1249,18.4381,19.9138,48.5989,93.8351,0
BOMEUSDC,6774,527226.20,14748,1256,18.5415,1.4769,49.6019,99.6019,0
NEIROUSDT,516634,14349431.43,200000,89615,17.3459,8.5182,48.8601,93.3884,2
NEIROUSDT,516634,14349431.43,14748,4349,0.8418,0.0324,48.0110,99.3332,0
NEIROUSDC,26887,914857.91,200000,13916,51.7574,20.7985,43.7410,96.9316,1
NEIROUSDC,26887,914857.91,14748,575,2.1386,0.0671,46.4348,99.6522,0
