second,trade_count
0,14
1,20
2,5
3,20
4,1
5,4
6,1
7,4
8,18
9,3
10,2
11,6
12,12
13,8
14,6
15,13
16,6
17,7
18,19
19,17
20,5
21,7
22,10
23,16
24,6
25,1
26,19
27,4
28,7
29,1
30,6
31,3
32,3
33,25
34,6
35,6
36,13
37,19
38,3
39,4
40,14
41,13
42,1
43,0
44,6
45,2
46,2
47,5
48,7
49,34
50,9
51,21
52,7
53,2
54,7
55,0
56,12
57,1
58,1
59,6
