log_index,reserve_burger,reserve_wbnb,reserve_price_wbnb_per_burger
28,46711.514647,9067.750748,0.194122388
37,46711.514647,9085.892145,0.194510759
40,46618.433694,9085.892145,0.194899129
71,91935.047627,4607.275152,0.050114459
80,91935.047627,4607.275152,0.050114459
93,137388.020023,128.658181,0.000936459
110,137251.661106,128.658181,0.000937389
122,28460.523338,620.457639,0.021800641
131,28460.523338,621.937477,0.021852637
134,28392.965124,621.937477,0.021904633
