symbol,token_address,decimals,net_amount,raw_amount
USDT,0x55d398326f99059ff775485246999027b3197955,18,1431761.031031,1431761031031005477674750
BURGER,0xae9269f27437f0fcbc232d39ec814844a51d6b8f,18,432874.621429,432874621429984105214577
xBURGER,0xafe24e29da7e9b3e8a25c9478376b6ad6ad788dd,18,142129.706547,142129706547086312554326
ROCKI,0xa01000c52b234a92563ba61e5649b7c76e1ba0f3,18,95168.83305,95168833050005412850593
BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,22163.839969,22163839969715149082667
WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,4411.39318,4411393180827340367114
ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,2.594824,2594824846916899386
