log_index,pair,token0,token1,amount0_in,amount1_in,amount0_out,amount1_out,effective_wbnb_per_burger
29,0x7ac55ac530f2c29659573bde0700c6758d69e677,BURGER,WBNB,0,6028.990833,92677.046404,0,0.065053765
72,0x7ac55ac530f2c29659573bde0700c6758d69e677,BURGER,WBNB,45316.613933,0,0,4478.616993,0.098829471
90,0x7704c4f30c1203cab03d87836932f01a9497d6e9,FAKE,BURGER,0,0,0,45452.972395,
94,0x7ac55ac530f2c29659573bde0700c6758d69e677,BURGER,WBNB,45452.972395,0,0,4478.61697,0.098532983
123,0x7ac55ac530f2c29659573bde0700c6758d69e677,BURGER,WBNB,0,491.799457,108791.137767,0,0.004520584
146,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,USDT,WBNB,0,6062.28795,0,6047.13223,
