symbol,token_class,token_address,incoming_amount,outgoing_amount,net_amount,net_amount_number,incoming_raw,outgoing_raw,net_raw,transfer_count
uSUSDE,uwu-interest-token,0xf1293141fc6ab23b2a0143acc196e3429e0b67a6,6097818708.826842,5966663524.437186,131155184.389656,131155184.38965628,6097818708826842740767143937,5966663524437186474304038367,131155184389656266463105570,50
variableDebtSUSDE,debt-accounting,0xd7f6e4e10fd1e7faf642fa924c5ea2b6c5450d11,2013935926.940796,1948273343.496116,65662583.444679,65662583.44467998,2013935926940796215294603609,1948273343496116235273063954,65662583444679980021539655,17
variableDebtCRV,debt-accounting,0xb9e8bcd56f26b0540989a66aa24d431cdb0affa0,25326128.474128,0,25326128.474128,25326128.47412843,25326128474128429112309929,0,25326128474128429112309929,1
variableDebtUSDT,debt-accounting,0xaac1d67f1c17ec01593d76e831c51a4f458dc160,4221692.419481,0,4221692.419481,4221692.419481,4221692419481,0,4221692419481,1
variableDebtDAI,debt-accounting,0x1254b1fd988a1168e44a4588bb503a867f8e410f,3520271.928241,0,3520271.928241,3520271.9282410056,3520271928241005850941584,0,3520271928241005850941584,1
crvUSD,liquid-token,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,72373984.730916,71533356.878852,840627.852064,840627.8520640098,72373984730916166039971310,71533356878852156259988123,840627852064009779983187,23
bLUSD,liquid-token,0xb9d7dddca9a4ac480991865efef82e01273f79c3,498960.112775,0,498960.112775,498960.1127759264,498960112775926423531666,0,498960112775926423531666,1
sDAI,liquid-token,0x83f20f44975d03b1b09e64809b757c47f942beea,456696.702201,0,456696.702201,456696.7022019085,456696702201908548233063,0,456696702201908548233063,1
WETH,liquid-token,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3574955.503537,3570048.060377,4907.44316,4907.443160466508,3574955503537471880383965,3570048060377005372210421,4907443160466508173544,61
