symbol,token_address,incoming_amount,outgoing_amount,net_amount,net_amount_number,incoming_raw,outgoing_raw,net_raw,transfer_count
crvUSD,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,72373984.730916,71533356.878852,840627.852064,840627.8520640098,72373984730916166039971310,71533356878852156259988123,840627852064009779983187,23
bLUSD,0xb9d7dddca9a4ac480991865efef82e01273f79c3,498960.112775,0,498960.112775,498960.1127759264,498960112775926423531666,0,498960112775926423531666,1
sDAI,0x83f20f44975d03b1b09e64809b757c47f942beea,456696.702201,0,456696.702201,456696.7022019085,456696702201908548233063,0,456696702201908548233063,1
WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3574955.503537,3570048.060377,4907.44316,4907.443160466508,3574955503537471880383965,3570048060377005372210421,4907443160466508173544,61
