tx_label,transaction_hash,from_address,to_address,created_contract,block_number,timestamp_utc,status,gas_used,log_count,erc20_transfer_logs,controlled_flow_tokens
attack-1,0x242a0fb4fde9de0dc2fd42e8db743cbc197ffa2bf6a036ba0bba303df296408b,0x841ddf093f5188989fa1524e7b893de64b421f47,,0x21c58d8f816578b1193aef4683e8c64405a4312e,20061319,2024-06-10T12:05:59Z,1,18097758,561,223,19
attack-2,0xb3f067618ce54bc26a960b660cfc28f9ea0315e2e9a1a855ede1508eb4017376,0x841ddf093f5188989fa1524e7b893de64b421f47,,0x4e48c46779b3b16d63375751467d7eee34d41c3d,20061322,2024-06-10T12:06:35Z,1,17428770,572,231,17
attack-3,0xca1bbf3b320662c89232006f1ec6624b56242850f07e0f1dadbe4f69ba0d6ac3,0x841ddf093f5188989fa1524e7b893de64b421f47,,0x13f3fee69160162a78284c64c1100a3df476d890,20061352,2024-06-10T12:12:35Z,1,17665851,537,215,15
