"source","marketplace","wash_volume_share_percent","wash_trade_count_share_percent","value_note","url"
"Dune Analytics","LooksRare","98","25","Marketplace-level Ethereum NFT wash-trading estimate","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","X2Y2","87","22","Marketplace-level Ethereum NFT wash-trading estimate","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","Element","66","18.5","Approximate value from Dune marketplace breakdown","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","Sudoswap","11","14.5","Approximate value from Dune marketplace breakdown","https://dune.com/blog/nft-wash-trading-on-ethereum"
"Dune Analytics","OpenSea","2.4","<1","Marketplace-level Ethereum NFT wash-trading estimate; trade-count share reported as under 1%","https://dune.com/blog/nft-wash-trading-on-ethereum"
