"marketplace","wash_volume_share_percent","wash_trade_count_share_percent","f_filtered_volume_gap","d_volume_count_divergence","two_factor_formula","two_factor_lower_bound_score","lower_bound_band","source_note"
"LooksRare","98","25","98","73","0.25*F + 0.15*D","35.45","yellow","Uses Dune marketplace wash-volume and wash-trade-count shares"
"X2Y2","87","22","87","65","0.25*F + 0.15*D","31.50","yellow","Uses Dune marketplace wash-volume and wash-trade-count shares"
"Element","66","18.5","66","47.5","0.25*F + 0.15*D","23.63","green-near-yellow","Uses approximate Dune marketplace breakdown values"
"Sudoswap","11","14.5","11","0","0.25*F + 0.15*D","2.75","green","D is clipped to zero because trade-count share is higher than volume share"
"OpenSea","2.4","0.9","2.4","1.5","0.25*F + 0.15*D","0.83","green","Trade-count share is modeled as 0.9 because Dune reports it below 1 percent"
