symbol,date,source_zip_bytes,source_url,trade_count,start_utc,end_utc,quote_volume_usdt,price_change_pct,top_qty,top_qty_count,top_qty_share,second_qty,second_qty_count,second_qty_share,top_two_qty_share,top_two_quote_volume_usdt,top_two_quote_volume_share,unique_qty_ratio,round_qty_share,top_second_of_minute_share,second_of_minute_chi_square,buyer_taker_share,median_intertrade_gap_seconds,p95_intertrade_gap_seconds
CELRUSDT,2026-06-11,290495,https://data.binance.vision/data/spot/daily/aggTrades/CELRUSDT/CELRUSDT-aggTrades-2026-06-11.zip,16275,2026-06-11T00:00:01.731000+00:00,2026-06-11T23:59:56.591000+00:00,267495.22,3.7321,6788,2545,0.156375,6888,2520,0.154839,0.311214,74208.83,0.277421,0.578003,1.0,0.029862,334.29,0.515269,3.965,15.097
GMXUSDT,2026-06-11,66566,https://data.binance.vision/data/spot/daily/aggTrades/GMXUSDT/GMXUSDT-aggTrades-2026-06-11.zip,3779,2026-06-11T00:00:09.634000+00:00,2026-06-11T23:59:35.584000+00:00,196901.33,1.476,10.35,18,0.004763,1.192,13,0.00344,0.008203,1107.79,0.005626,0.415454,0.148981,0.051336,2982.39,0.749669,14.9865,67.563
FLOKIUSDT,2026-06-11,303511,https://data.binance.vision/data/spot/daily/aggTrades/FLOKIUSDT/FLOKIUSDT-aggTrades-2026-06-11.zip,16718,2026-06-11T00:00:03.805000+00:00,2026-06-11T23:59:56.412000+00:00,1380641.2,2.2755,200000,871,0.0521,83750,454,0.027156,0.079256,5251.54,0.003804,0.620828,1.0,0.030566,668.63,0.417694,0.323,25.054
DYDXUSDT,2026-06-11,732672,https://data.binance.vision/data/spot/daily/aggTrades/DYDXUSDT/DYDXUSDT-aggTrades-2026-06-11.zip,52288,2026-06-11T00:00:00.474000+00:00,2026-06-11T23:59:56.522000+00:00,1134355.76,4.9766,385,717,0.013713,42.64,429,0.008205,0.021917,34890.62,0.030758,0.206854,1.0,0.038728,2677.06,0.494607,0.0,10.073
TUSDUSDT,2026-06-11,61531,https://data.binance.vision/data/spot/daily/aggTrades/TUSDUSDT/TUSDUSDT-aggTrades-2026-06-11.zip,4106,2026-06-11T00:06:33.107000+00:00,2026-06-11T23:55:00.319000+00:00,103786.69,-0.03,8,681,0.165855,7,577,0.140526,0.306381,9483.95,0.091379,0.025329,1.0,0.172187,10871.09,0.021919,8.992,60.0
