second,trade_count
0,1
1,6
2,8
3,5
4,3
5,7
6,4
7,3
8,2
9,1
10,22
11,4
12,9
13,5
14,2
15,9
16,2
17,4
18,4
19,4
20,8
21,2
22,20
23,3
24,5
25,7
26,4
27,6
28,11
29,2
30,11
31,11
32,7
33,2
34,1
35,4
36,13
37,10
38,9
39,6
40,25
41,4
42,9
43,11
44,7
45,10
46,12
47,8
48,12
49,29
50,6
51,8
52,25
53,23
54,2
55,13
56,15
57,5
58,17
59,12
