price,trade_count
63468.42,29
63456.01,19
63453.72,17
63443.12,16
63454.02,15
63453.73,14
63472.79,14
63443.11,13
63463.73,13
63472.78,12
63450,11
63463.74,11
63468.43,10
63446.27,9
63460.08,9
63456.89,9
63460.02,8
63457.15,7
63462.47,6
63447.34,5
