symbol,name,n_trades,top_clip_qty,top_clip_share,clip_buyshare,clip_net_pct,clip_notional,clip_dollar_share,benford_ks,day_clip_med,daily_turnover_usd,net_pct
HOODX,Robinhood,65164,0.12,0.4938,0.458,0.083,306143.0,0.2582,0.346,0.469,38243.0,0.309
SPYX,S&P 500,28116,0.02,0.2541,0.44,0.121,106396.0,0.0628,0.104,0.257,54689.0,0.057
TSLAX,Tesla,242598,0.025,0.2395,0.463,0.074,601435.0,0.0667,0.22,0.237,290667.0,0.15
NVDAX,NVIDIA,196025,0.05,0.2297,0.451,0.097,479789.0,0.0443,0.096,0.243,349642.0,0.079
AAPLX,Apple,37753,0.04,0.1711,0.465,0.07,77001.0,0.0916,0.141,0.168,27116.0,0.127
GOOGLX,Alphabet,33819,0.03,0.1676,0.453,0.094,66918.0,0.0457,0.137,0.185,47201.0,-0.001
MSTRX,MicroStrategy,27467,0.05,0.0498,0.033,0.935,12820.0,0.0053,0.034,0.002,78468.0,-0.031
