second,trade_count
0,6
1,8
2,7
3,9
4,6
5,20
6,5
7,2
8,10
9,7
10,3
11,5
12,13
13,7
14,5
15,9
16,7
17,1
18,9
19,5
20,7
21,12
22,10
23,6
24,9
25,6
26,5
27,58
28,16
29,12
30,12
31,2
32,0
33,13
34,5
35,23
36,6
37,3
38,2
39,1
40,4
41,6
42,0
43,6
44,6
45,23
46,3
47,5
48,10
49,3
50,2
51,6
52,9
53,6
54,4
55,4
56,6
57,9
58,13
59,23
