datetime,block,tx_hash,crv_out,crv_out_raw,usdc_in,usdc_in_raw,effective_usdc_per_crv
2022-11-14T07:26:35.000Z,15966774,0xd19a3c6949df18d1bca3b51cf8474c59e6199eefb897e99b4ea9c4e5f31b0698,52923.4401,52923440100826446280991,32018.681261,32018681261,0.605000
2022-11-14T07:26:47.000Z,15966775,0x0a8b2c144c9903e59de6d067ed4d889a8baa911e5748c1a14b229b76e931f0ac,16487.048616,16487048616528925619834,9974.664413,9974664413,0.605000
2022-11-14T07:26:47.000Z,15966775,0xce2f0ef0a2ce3159936963506b6c71fb2b8bfa892cb0266eaf89d9feadf26a73,33015.361998,33015361998347107438016,19974.294009,19974294009,0.605000
2022-11-14T07:26:59.000Z,15966776,0xdb7d18e5ae4b80ca5066e14cd6fab1813900ba1c4a058241a3af5412b5f550ab,41200.371042,41200371042975206611570,24926.224481,24926224481,0.605000
2022-11-14T07:27:35.000Z,15966779,0x5bff63f514ace559be160d2153a75f883324bdae261e516416d8fc31feb661b8,183371.573176,183371573176859504132231,110939.801772,110939801772,0.605000
2022-11-14T07:29:11.000Z,15966787,0x90352384c25d32cc54a432a9e486b5c01e3be135dedcc2bf3e3b64419b9f8f80,34645.339074,34645339074380165289256,20960.43014,20960430140,0.605000
2022-11-14T07:29:23.000Z,15966788,0x31d89dfab685bd5a0c3c4503dd92c0d415b28d12477c8af07cc82f0e570f82cf,43225.498176,43225498176859504132231,26151.426397,26151426397,0.605000
2022-11-14T07:29:23.000Z,15966788,0x5058a4222d226e2db9cf3a89cd6f0085de1baa970d5b67b9b1d1480ee60f34b9,24793.388429,24793388429752066115702,15000,15000000000,0.605000
2022-11-14T07:29:35.000Z,15966789,0x4ee922b8c83fdb9f6aa0969106f9bc7ad00bfb6d348ecfcc0e8530ce3246d167,6611.570247,6611570247933884297520,4000,4000000000,0.605000
2022-11-14T07:29:47.000Z,15966790,0x71352162ebce8a86cfd2503b74d5e7737d18b6b30010aeac57bb2a2dc9445c6c,36159.28632,36159286320661157024793,21876.368224,21876368224,0.605000
2022-11-14T07:30:47.000Z,15966795,0x7a6b760daa5d895e6afe1f32e5ba905ab56f7fe09cf871b3bbf7410c8b8b701d,16502.095147,16502095147107438016528,9983.767564,9983767564,0.605000
2022-11-14T07:31:35.000Z,15966799,0xaf83050d71ecc9be054ebc5666a3b43032489d368523b0519a0d9908242be02c,128338.689036,128338689036363636363636,77644.906867,77644906867,0.605000
2022-11-14T07:31:35.000Z,15966799,0xff5ed16d110a76909111d2aa65445eeb4f39d83b95326e76b870a8b1e9c184de,24793.388429,24793388429752066115702,15000,15000000000,0.605000
2022-11-14T07:36:11.000Z,15966822,0x024bb63b843bd9702d0cfb7374a829c4cbebc3f34140027d9565ade3f70bd77e,11364.500398,11364500398347107438016,6875.522741,6875522741,0.605000
2022-11-14T07:36:35.000Z,15966824,0x9bb173b31f2e296abb4ac9e0b842faf06a6226826f600364ea04cc2cd3dcc609,5950.413223,5950413223140495867768,3600,3600000000,0.605000
2022-11-14T13:33:11.000Z,15968595,0xca6ff9bba1c151350cdff6236f3ddd96501ef3fca4dd4d2180d309b2a9074326,200000,200000000000000000000000,123218.418663,123218418663,0.616092
2022-11-14T13:33:47.000Z,15968598,0xe716bc46ca7eb77177f422e272ec3b60786fd49260cd6b8be7a702533689db71,200000,200000000000000000000000,123154.273301,123154273301,0.615771
