datetime,block,tx_hash,tx_index,log_index,token,direction,counterparty,amount,amount_raw
2022-11-14T06:50:59.000Z,15966597,0x2657d95e018ad7346d91bc56b7c3d1ea2ce36fcb7458a5ddd6605c377d43d739,7,8,CRV,from_user,0x1111111254fb6c44bac0bed2854e76f90643097d,6482.2,6482200000000000000000
2022-11-14T06:51:35.000Z,15966600,0x0dbbbc474ecf5622cae93feae2588a9a8bb7c115e6796d1f59ee3dfd2abe06cf,16,136,USDC,to_user,0x6c6b87d44d239b3750bf9badce26a9a0a3d2364e,29964.466901,29964466901
2022-11-14T06:51:35.000Z,15966600,0x0dbbbc474ecf5622cae93feae2588a9a8bb7c115e6796d1f59ee3dfd2abe06cf,16,137,CRV,from_user,0x6c6b87d44d239b3750bf9badce26a9a0a3d2364e,49940.778168,49940778168333333333333
2022-11-14T06:51:47.000Z,15966601,0x50969710b88fbff1ccecc041c0acaea0dc8f57032e45b24c28333990f83574f1,65,88,USDC,to_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,50000,50000000000
2022-11-14T06:51:47.000Z,15966601,0x50969710b88fbff1ccecc041c0acaea0dc8f57032e45b24c28333990f83574f1,65,89,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,83333.333333,83333333333333333333333
2022-11-14T06:52:11.000Z,15966603,0xe0c1c7eaf51c20593644bada1708f05f9080bcc443f6ee8707b6ca0bdfb5a423,0,4,USDC,to_user,0xc563c201fd129d0851ad03759f260c210c02780b,25341.949748,25341949748
2022-11-14T06:52:11.000Z,15966603,0xe0c1c7eaf51c20593644bada1708f05f9080bcc443f6ee8707b6ca0bdfb5a423,0,5,CRV,from_user,0xc563c201fd129d0851ad03759f260c210c02780b,42236.582913,42236582913333333333333
2022-11-14T06:52:23.000Z,15966604,0x28ce09e45abfeb7bbf8800cf30091a724d60a3a4f077944d45f463239e559a40,75,149,USDC,to_user,0xf021f084477242fe6835c67234b4345de4db19e1,9983.491164,9983491164
2022-11-14T06:52:23.000Z,15966604,0x28ce09e45abfeb7bbf8800cf30091a724d60a3a4f077944d45f463239e559a40,75,150,CRV,from_user,0xf021f084477242fe6835c67234b4345de4db19e1,16639.15194,16639151940000000000000
2022-11-14T06:52:35.000Z,15966605,0xe0ac258083c4ab938e61c6d9825de1ba8a5520a6ad7bacc74be94d9dde3ecc56,1,8,USDC,to_user,0x3b17056cc4439c61cea41fe1c9f517af75a978f7,29778.194244,29778194244
2022-11-14T06:52:35.000Z,15966605,0xe0ac258083c4ab938e61c6d9825de1ba8a5520a6ad7bacc74be94d9dde3ecc56,1,9,CRV,from_user,0x3b17056cc4439c61cea41fe1c9f517af75a978f7,49630.32374,49630323740000000000000
2022-11-14T06:52:35.000Z,15966605,0x96275ea9a01c42bfd69bdc08b21806b419fefbd3f09628559286c92f730b98e3,18,138,USDC,to_user,0x00000007f7a9056880d057f611e80c419f9b20c8,3000,3000000000
2022-11-14T06:52:35.000Z,15966605,0x96275ea9a01c42bfd69bdc08b21806b419fefbd3f09628559286c92f730b98e3,18,139,CRV,from_user,0x58dc5a51fe44589beb22e8ce67720b5bc5378009,5000,5000000000000000000000
2022-11-14T06:52:35.000Z,15966605,0xc4fd4204709f689bc612a20d98a615dd639865b65f64ab743ad018feb9c0a583,33,195,USDC,to_user,0xc563c201fd129d0851ad03759f260c210c02780b,32328.971904,32328971904
2022-11-14T06:52:35.000Z,15966605,0xc4fd4204709f689bc612a20d98a615dd639865b65f64ab743ad018feb9c0a583,33,196,CRV,from_user,0xc563c201fd129d0851ad03759f260c210c02780b,53881.61984,53881619840000000000000
2022-11-14T06:52:35.000Z,15966605,0x7e2f3b2d261749d9eb132ffaebb0f50aaaaebce81a57f51592a9c7fbd9a83d17,124,313,USDC,to_user,0xf021f084477242fe6835c67234b4345de4db19e1,20181.520051,20181520051
2022-11-14T06:52:35.000Z,15966605,0x7e2f3b2d261749d9eb132ffaebb0f50aaaaebce81a57f51592a9c7fbd9a83d17,124,314,CRV,from_user,0xf021f084477242fe6835c67234b4345de4db19e1,33635.866751,33635866751666666666666
2022-11-14T06:52:35.000Z,15966605,0x58377e92e3329404d69cc76d6a7e92f848f8aa4a1b16f0359560cf8fa7751d6f,169,412,USDC,to_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,20000,20000000000
2022-11-14T06:52:35.000Z,15966605,0x58377e92e3329404d69cc76d6a7e92f848f8aa4a1b16f0359560cf8fa7751d6f,169,413,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,33333.333333,33333333333333333333333
2022-11-14T06:52:47.000Z,15966606,0xfee4820fc2a78623d305a94cb43cde93b6aeb3bb46a23b8a0ebdc1680f1070d0,18,292,USDC,to_user,0xc563c201fd129d0851ad03759f260c210c02780b,15507.127495,15507127495
2022-11-14T06:52:47.000Z,15966606,0xfee4820fc2a78623d305a94cb43cde93b6aeb3bb46a23b8a0ebdc1680f1070d0,18,293,CRV,from_user,0xc563c201fd129d0851ad03759f260c210c02780b,25845.212491,25845212491666666666666
2022-11-14T06:57:59.000Z,15966632,0x8c9d8c3dcced270254895c872a5b8cad9b09997a6e729995fc07e01cbc9b6f88,106,221,CRV,to_user,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,2000000,2000000000000000000000000
2022-11-14T06:58:47.000Z,15966636,0xedde601231d16a23ee5705f00fc1d593c64805653a58d9e926266235dd1420c9,161,295,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,100000,100000000000000000000000
2022-11-14T06:58:47.000Z,15966636,0xedde601231d16a23ee5705f00fc1d593c64805653a58d9e926266235dd1420c9,161,329,USDC,to_user,0x1111111254fb6c44bac0bed2854e76f90643097d,60047.110975,60047110975
2022-11-14T07:00:59.000Z,15966646,0x39ff9c8b26656894f685321136a47daf8c139c2a05bae98ecb3fbbcb7501e8c2,40,90,USDC,to_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,40000,40000000000
2022-11-14T07:00:59.000Z,15966646,0x39ff9c8b26656894f685321136a47daf8c139c2a05bae98ecb3fbbcb7501e8c2,40,91,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,66115.702479,66115702479338842975206
