second,trade_count
0,4
1,7
2,45
3,2
4,8
5,6
6,1
7,5
8,10
9,1
10,3
11,9
12,6
13,4
14,13
15,9
16,3
17,2
18,7
19,4
20,14
21,6
22,16
23,3
24,9
25,9
26,6
27,12
28,11
29,5
30,10
31,3
32,5
33,10
34,2
35,6
36,0
37,2
38,0
39,0
40,2
41,1
42,4
43,3
44,2
45,2
46,4
47,11
48,2
49,27
50,4
51,6
52,36
53,45
54,15
55,2
56,19
57,7
58,20
59,10
