window,observations,start,end,min_price,max_price,high_timestamp,low_after_high_timestamp,high_to_low_drawdown_pct,median_volume_usd,max_volume_usd,max_volume_timestamp
march,216,2026-03-16T00:04:10Z,2026-03-24T23:01:37Z,0.4181,2.9982,2026-03-23T10:02:15Z,2026-03-24T04:03:04Z,-70.7203,29160778.9256,162290674.8357,2026-03-23T03:01:56Z
april,60,2026-04-17T00:00:30Z,2026-04-19T11:00:22Z,0.3297,2.1044,2026-04-17T06:01:07Z,2026-04-17T09:01:11Z,-84.3313,89799758.9266,139911608.0391,2026-04-17T07:00:58Z
